vacancy_id,VacancyId,Name,Reference,Client,HiringManager,PositionType,AddressCity,AddressPostCode,AddressCountry,Salary
1,49602700-5889-ee11-be36-002248c7244c,sre - speculative,PR/006042,Rogahn-Sanford,Glenna Wiza,Permanent,Newtownabbey,JM52 0LV,United Kingdom,250000
2,18398fe2-fe68-ee11-94f7-000d3ad6abf9,Database Reliability Engineer,PR/005290,Lesch-Hirthe,Emilia McGlynn,Permanent,Londonderry,UW26 3AF,United Kingdom,50000
3,c299b4c9-7888-ee11-be36-002248c7244c,Quant Research,PR/006039,"Dooley, Gutkowski and Graham",Rodger Langosh,Permanent,Newport,OF23 4HN,United Kingdom,50000
4,f0388fe2-fe68-ee11-94f7-000d3ad6abf9,Senior Business Analyst,PR/005250,"McCullough, Beahan and Abshire",Domenica Emard,Permanent,Birmingham,KY27 5VQ,United Kingdom,100000
5,ae388fe2-fe68-ee11-94f7-000d3ad6abf9,Senior Software Engineer - Qt,PR/005184,Oberbrunner LLC,Demarcus Stiedemann,Permanent,London,NG31 8OQ,United Kingdom,75000
6,29388fe2-fe68-ee11-94f7-000d3ad6abf9,Head of Development,PR/005051,Rath-Ullrich,Sherwood Leffler,Permanent,Nottingham,YM11 0SA,United Kingdom,100000
7,0f398fe2-fe68-ee11-94f7-000d3ad6abf9,Linux Engineering Manager,PR/005281,"McCullough, Beahan and Abshire",Emmalee O'Connell,Permanent,Birmingham,KY27 5VQ,United Kingdom,55000
8,27398fe2-fe68-ee11-94f7-000d3ad6abf9,Development Manager,PR/005305,Lesch-Hirthe,Nash Durgan,Permanent,Londonderry,UW26 3AF,United Kingdom,60000
9,87e08858-b37c-ee11-94fa-000d3ad6abf9,Development Manager,PR/005385,Lesch-Hirthe,Golda Pouros,Permanent,Londonderry,UW26 3AF,United Kingdom,70000
10,2f398fe2-fe68-ee11-94f7-000d3ad6abf9,Head of Department,PR/005313,"Ondricka, Littel and Emmerich",Gloria Wolf,Permanent,Londonderry,WR01 1IH,United Kingdom,40000
